id,offense,secondsLeftInGame,scoreDifferential,yardsToGoal,distanceToFirstDown,isWentForIt,wasSuccess,likelihood,rawRate,smoothedRate,sampleSize,meetsMinSample,blockKey,playText
"323220061013","Georgia",3415,0,5,1,true,true,0.8057,0.8626,0.8057,313,true,"Tied | H1 Early | YTG 1-10 | Dist 1","Alexander Ogletree rush for 4 yards to the GeoSo 1 for a 1ST down."
"302890061022","Georgia",3275,0,16,1,true,true,0.7965,0.8619,0.7965,268,true,"Tied | H1 Early | YTG 11-20 | Dist 1","Aaron Murray rush for 2 yards to the Vandy 14 for a 1ST down."
"401282090104936101","Georgia",398,34,38,1,true,true,0.7823,0.8687,0.7823,198,true,"Ahead 15+ | H2 Mid | YTG 31-40 | Dist 1","Kenny McIntosh run for 15 yds to the Ark 23 for a 1ST down"
"400933857104928501","Georgia",434,28,38,1,true,true,0.7823,0.8687,0.7823,198,true,"Ahead 15+ | H2 Mid | YTG 31-40 | Dist 1","Elijah Holyfield run for 4 yds to the Samf 34 for a 1ST down"
"401012268104949801","Georgia",301,24,38,1,true,true,0.7823,0.8687,0.7823,198,true,"Ahead 15+ | H2 Mid | YTG 31-40 | Dist 1","James Cook run for 1 yd to the SCaro 37 for a 1ST down"
"400548337102915101","Georgia",2328,7,9,1,true,true,0.7822,0.8800,0.7822,175,true,"Ahead 6-8 | H1 Mid | YTG 1-10 | Dist 1","Nick Chubb run for 9 yds for a TD, (Marshall Morgan KICK)"
"400933906101949001","Georgia",3009,0,34,1,true,true,0.7745,0.8126,0.7745,443,true,"Tied | H1 Early | YTG 31-40 | Dist 1","Christian Payne run for 4 yds to the SCaro 30 for a 1ST down"
"272580061135","Georgia",1503,21,4,1,true,true,0.7649,0.8327,0.7649,245,true,"Ahead 15+ | H2 Early | YTG 1-10 | Dist 1","Thomas Brown rush for 4 yards for a TOUCHDOWN."
"273140061188","Georgia",472,18,29,1,true,true,0.7634,0.8458,0.7634,201,true,"Ahead 15+ | H2 Mid | YTG 21-30 | Dist 1","Matthew Stafford pass complete to Tripp Chandler for 26 yards to the Aub 3 for a 1ST down."
"312812633013","Georgia",3349,0,23,1,true,true,0.7575,0.8088,0.7575,319,true,"Tied | H1 Early | YTG 21-30 | Dist 1","Isaiah Crowell rush for 3 yards to the Tenn 20 for a 1ST down."
"2430400610205","Georgia",3567,0,29,1,true,true,0.7575,0.8088,0.7575,319,true,"Tied | H1 Early | YTG 21-30 | Dist 1","Thomas Brown (GA) rushed up the middle for 2 yards."
"401520352102896501","Georgia",2434,17,2,1,true,true,0.7490,0.8833,0.7490,120,true,"Ahead 15+ | H1 Mid | YTG 1-10 | Dist 1","Daijun Edwards run for 2 yds for a TD (Peyton Woodring KICK)"
"401403895104946901","Georgia",330,17,1,1,true,true,0.7489,0.7988,0.7489,323,true,"Ahead 15+ | H2 Mid | YTG 1-10 | Dist 1","Kendall Milton run for 1 yd for a TD, (Jack Podlesny KICK)"
"401628398104879501","Georgia",724,15,1,1,true,true,0.7489,0.7988,0.7489,323,true,"Ahead 15+ | H2 Mid | YTG 1-10 | Dist 1","Trevor Etienne run for 1 yd for a TD (Peyton Woodring KICK)"
"340010061063","Georgia",2625,0,31,1,true,true,0.7445,0.8647,0.7445,133,true,"Tied | H1 Mid | YTG 31-40 | Dist 1","Todd Gurley rush for 1 yard to the Neb 30 for a 1ST down."
"401282090101938301","Georgia",3076,7,35,1,true,true,0.7351,0.8969,0.7351,97,true,"Ahead 6-8 | H1 Early | YTG 31-40 | Dist 1","Zamir White run for 3 yds to the Ark 32 for a 1ST down"
"252670344093","Georgia",2290,11,33,1,true,true,0.7233,0.8977,0.7233,88,true,"Ahead 9-14 | H1 Mid | YTG 31-40 | Dist 1","Brannan Southerland rush for 4 yards to the MiSt 29 for a 1ST down."
"400603907104965401","Georgia",225,24,34,1,true,true,0.7229,0.9221,0.7229,77,true,"Ahead 15+ | H2 Final 4 | YTG 31-40 | Dist 1","Quayvon Hicks run for 4 yds to the Kent 30 for a 1ST down"
"282850061014","Georgia",3278,0,41,1,true,true,0.6896,0.7204,0.6896,465,true,"Tied | H1 Early | YTG 41-50 | Dist 1","Matthew Stafford rush for 3 yards to the Tenn 38 for a 1ST down."
"401520225102906909","Georgia",2370,-4,40,1,true,true,0.6849,0.8283,0.6849,99,true,"Behind 3-5 | H1 Mid | YTG 31-40 | Dist 1","Carson Beck pass complete to Oscar Delp for 7 yds to the SC 33 for a 1ST down"
"401237033102856906","Georgia",2670,-5,36,1,true,true,0.6849,0.8283,0.6849,99,true,"Behind 3-5 | H1 Mid | YTG 31-40 | Dist 1","D'Wan Mathis run for 5 yds to the Ark 31 for a 1ST down"
"400547740104987501","Georgia",84,24,7,1,true,true,0.6837,0.8148,0.6837,108,true,"Ahead 15+ | H2 Final 4 | YTG 1-10 | Dist 1","Nick Chubb run for 4 yds to the Clem 3 for a 1ST down"
"401628386104966601","Georgia",213,17,1,1,true,true,0.6837,0.8148,0.6837,108,true,"Ahead 15+ | H2 Final 4 | YTG 1-10 | Dist 1","Trevor Etienne run for 1 yd for a TD (Peyton Woodring KICK)"
"2324202281408","Georgia",2150,13,45,1,true,true,0.6668,0.7981,0.6668,104,true,"Ahead 9-14 | H1 Mid | YTG 41-50 | Dist 1","Ronnie Powell (GA) rushed up the middle for 2 yards."
"401403895102867801","Georgia",2601,9,50,1,true,true,0.6668,0.7981,0.6668,104,true,"Ahead 9-14 | H1 Mid | YTG 41-50 | Dist 1","Stetson Bennett run for 2 yds to the KntSt 48 for a 1ST down"
"303652116245","Georgia",35,-4,59,5,true,true,0.6624,0.9767,0.6624,43,true,"Behind 3-5 | H2 Final 4 | YTG 51-60 | Dist 3-5","Aaron Murray pass complete to Kris Durham for 30 yards to the UCF 29 for a 1ST down."
"400869013102854301","Georgia",2696,7,28,1,true,true,0.6608,0.8272,0.6608,81,true,"Ahead 6-8 | H1 Mid | YTG 21-30 | Dist 1","Sony Michel run for 3 yds to the Tenn 25 for a 1ST down"
"401769073104969901","Georgia",180,-3,52,9,true,true,0.6590,0.9074,0.6590,54,true,"Behind 3-5 | H2 Final 4 | YTG 51-60 | Dist 9-10","Gunner Stockton pass complete to Zachariah Branch for 16 yds to the MISS 36 for a 1ST down"
"2428300613011","Georgia",30,-5,52,10,true,true,0.6590,0.9074,0.6590,54,true,"Behind 3-5 | H2 Final 4 | YTG 51-60 | Dist 9-10","David Greene (GA) pass across the middle complete to Fred Gibson (GA) for 12 yards."
"253230061048","Georgia",2547,3,10,1,true,true,0.6466,0.7745,0.6466,102,true,"Ahead 3-5 | H1 Mid | YTG 1-10 | Dist 1","DJ Shockley pass complete to Leonard Pope for 10 yards for a TOUCHDOWN."
"262730145104","Georgia",1684,-3,45,1,true,true,0.6460,0.8049,0.6460,82,true,"Behind 3-5 | H2 Early | YTG 41-50 | Dist 1","Kregg Lumpkin rush for 22 yards to the Miss 23 out-of-bounds for a 1ST down."
"2428300612714","Georgia",315,-6,1,1,true,true,0.6403,0.7952,0.6403,83,true,"Behind 6-8 | H2 Mid | YTG 1-10 | Dist 1","Danny Ware (GA) rushed left side for a 1 yard touchdown."
"293250061026","Georgia",3170,-6,46,1,true,true,0.6363,0.7241,0.6363,145,true,"Behind 6-8 | H1 Early | YTG 41-50 | Dist 1","Joe Cox rush for 2 yards to the Kent 44 for a 1ST down."
"322520142089","Georgia",2376,-3,44,1,true,true,0.6219,0.7500,0.6219,96,true,"Behind 3-5 | H1 Mid | YTG 41-50 | Dist 1","Aaron Murray rush for 1 yard to the Misso 43 for a 1ST down."
"2431100961504","Georgia",1965,13,34,1,true,true,0.6193,0.9250,0.6193,40,true,"Ahead 9-14 | H1 Final 4 | YTG 31-40 | Dist 1","Thomas Brown (GA) rushed right side for 24 yards."
"401012295102984201","Georgia",1917,10,32,1,true,true,0.6193,0.9250,0.6193,40,true,"Ahead 9-14 | H1 Final 4 | YTG 31-40 | Dist 1","Brian Herrien run for 6 yds to the Tenn 26 for a 1ST down"
"401012341104985901","Georgia",100,39,26,1,true,true,0.6193,0.8197,0.6193,61,true,"Ahead 15+ | H2 Final 4 | YTG 21-30 | Dist 1","Ian Donald-McIntyre run for 5 yds to the UMass 21 for a 1ST down"
"400548370104985901","Georgia",100,34,29,1,true,true,0.6193,0.8197,0.6193,61,true,"Ahead 15+ | H2 Final 4 | YTG 21-30 | Dist 1","Brendan Douglas run for 6 yds to the Misso 23 for a 1ST down"
"401520225103889908","Georgia",1560,-4,28,1,true,true,0.6169,0.8600,0.6169,50,true,"Behind 3-5 | H2 Early | YTG 21-30 | Dist 1","Carson Beck run for 3 yds to the SC 25 for a 1ST down"
"293110061072","Georgia",2060,31,36,1,true,true,0.6141,0.8462,0.6141,52,true,"Ahead 15+ | H1 Mid | YTG 31-40 | Dist 1","Washaun Ealey rush for 2 yards to the TnTch 34, tackled by Howard Griffin for a 1ST down."
"312600061042","Georgia",2802,20,32,1,true,true,0.6141,0.8462,0.6141,52,true,"Ahead 15+ | H1 Mid | YTG 31-40 | Dist 1","Aaron Murray pass complete to Tavarres King for 32 yards for a TOUCHDOWN."
"2427600611204","Georgia",2452,17,31,1,true,true,0.6141,0.8462,0.6141,52,true,"Ahead 15+ | H1 Mid | YTG 31-40 | Dist 1","Thomas Brown (GA) rushed up the middle for 2 yards."
"400548370104917601","Georgia",503,27,14,1,true,true,0.6103,0.6651,0.6103,218,true,"Ahead 15+ | H2 Mid | YTG 11-20 | Dist 1","Nick Chubb run for 5 yds to the Misso 9 for a 1ST down"
"2324202282807","Georgia",190,29,29,2,true,true,0.5908,0.8750,0.5908,40,true,"Ahead 15+ | H2 Final 4 | YTG 21-30 | Dist 2","D.J. Shockley (GA) rushed up the middle for a 29 yard touchdown."
"272440061194","Georgia",235,21,28,2,true,true,0.5908,0.8750,0.5908,40,true,"Ahead 15+ | H2 Final 4 | YTG 21-30 | Dist 2","Knowshon Moreno rush for 3 yards to the OKSt 25 for a 1ST down."
"340010061232","Georgia",102,-5,24,1,true,true,0.5863,0.9375,0.5863,32,true,"Behind 3-5 | H2 Final 4 | YTG 21-30 | Dist 1","Hutson Mason rush for 1 yard to the Neb 23 for a 1ST down."
"313090061321","Georgia",661,46,44,1,true,true,0.5845,0.6425,0.5845,193,true,"Ahead 15+ | H2 Mid | YTG 41-50 | Dist 1","Hutson Mason rush for 1 yard to the NMxSt 43 for a 1ST down."
"400933885104854501","Georgia",894,31,41,1,true,true,0.5845,0.6425,0.5845,193,true,"Ahead 15+ | H2 Mid | YTG 41-50 | Dist 1","Jake Fromm run for 19 yds to the Vandy 22 for a 1ST down"
"401237117103886101","Georgia",1598,11,22,1,true,true,0.5820,0.7143,0.5820,84,true,"Ahead 9-14 | H2 Early | YTG 21-30 | Dist 1","Zamir White run for 22 yds for a TD (Jack Podlesny KICK)"
"401237033102899207","Georgia",2407,-5,39,2,true,true,0.5788,0.7719,0.5788,57,true,"Behind 3-5 | H1 Mid | YTG 31-40 | Dist 2","Stetson Bennett run for 6 yds to the Ark 33 for a 1ST down"
"401403944102859801","Georgia",2641,7,16,1,true,true,0.5778,0.7324,0.5778,71,true,"Ahead 6-8 | H1 Mid | YTG 11-20 | Dist 1","Stetson Bennett run for 1 yd to the MisSt 15 for a 1ST down"
"401752669101904401","Georgia",3295,0,31,2,true,true,0.5771,0.6154,0.5771,286,true,"Tied | H1 Early | YTG 31-40 | Dist 2","Gunner Stockton run for 14 yds to the MRSH 17 for a 1ST down"
"401752731103968901","Georgia",1090,0,37,1,true,true,0.5630,0.7872,0.5630,47,true,"Tied | H2 Early | YTG 31-40 | Dist 1","Nate Frazier run for 5 yds to the AUB 32 for a 1ST down"
"262590061102","Georgia",1655,10,42,1,true,true,0.5541,0.6509,0.5541,106,true,"Ahead 9-14 | H2 Early | YTG 41-50 | Dist 1","Brannan Southerland rush for 1 yard to the UAB 41 for a 1ST down."
"401628414101896701","Georgia",3332,7,2,2,true,true,0.5476,0.7451,0.5476,51,true,"Ahead 6-8 | H1 Early | YTG 1-10 | Dist 2","Nate Frazier 2 Yd Run (Peyton Woodring Kick)"
"401110788103875901","Georgia",1660,34,40,2,true,true,0.5279,0.6333,0.5279,90,true,"Ahead 15+ | H2 Early | YTG 31-40 | Dist 2","Jake Fromm run for 3 yds to the ArkSt 37 for a 1ST down"
"2429000612108","Georgia",1254,26,38,2,true,true,0.5279,0.6333,0.5279,90,true,"Ahead 15+ | H2 Early | YTG 31-40 | Dist 2","David Greene (GA) pass left side complete to Reggie Brown (GA) for a 38 yard touchdown."
"263150002189","Georgia",215,22,12,2,true,true,0.5127,0.7568,0.5127,37,true,"Ahead 15+ | H2 Final 4 | YTG 11-20 | Dist 2","Brannan Southerland rush for 3 yards to the Aub 9 for a 1ST down."
"332920238128","Georgia",1827,9,2,1,true,true,0.5090,0.6462,0.5090,65,true,"Ahead 9-14 | H1 Final 4 | YTG 1-10 | Dist 1","Aaron Murray rush for 2 yards for a TOUCHDOWN."
"252670344064","Georgia",3190,4,33,1,true,true,0.5055,0.7647,0.5055,34,true,"Ahead 3-5 | H1 Early | YTG 31-40 | Dist 1","Brannan Southerland rush for 4 yards to the MiSt 29 for a 1ST down."
"263640259154","Georgia",450,10,1,1,true,true,0.5022,0.5703,0.5022,128,true,"Ahead 9-14 | H2 Mid | YTG 1-10 | Dist 1","Brannan Southerland rush for 1 yard for a TOUCHDOWN."
"2430400610607","Georgia",3125,0,55,1,true,true,0.4952,0.5116,0.4952,516,true,"Tied | H1 Early | YTG 51-60 | Dist 1","Thomas Brown (GA) rushed right side for 20 yards."
"312812633007","Georgia",3538,0,60,1,true,true,0.4952,0.5116,0.4952,516,true,"Tied | H1 Early | YTG 51-60 | Dist 1","Isaiah Crowell rush for 11 yards to the Tenn 49 for a 1ST down."
"332782633075","Georgia",2210,7,39,4,true,true,0.4805,0.5246,0.4805,183,true,"Ahead 6-8 | H1 Mid | YTG 31-40 | Dist 3-5","Aaron Murray pass complete to Chris Conley for 24 yards to the Tenn 15 for a 1ST down."
"272720061284","Georgia",101,28,16,4,true,true,0.4698,0.5323,0.4698,124,true,"Ahead 15+ | H2 Final 4 | YTG 11-20 | Dist 3-5","Kalvin Daniels rush for 9 yards to the Miss 7 for a 1ST down."
"303652116237","Georgia",95,-4,78,8,true,true,0.4599,0.6667,0.4599,36,true,"Behind 3-5 | H2 Final 4 | YTG 71-80 | Dist 6-8","Aaron Murray pass complete to A.J. Green for 14 yards to the Geo 36 for a 1ST down."
"332430228046","Georgia",3105,-7,33,4,true,true,0.4445,0.4733,0.4445,243,true,"Behind 6-8 | H1 Early | YTG 31-40 | Dist 3-5","Aaron Murray pass complete to Justin Scott-Wesley for 11 yards to the Clem 22 for a 1ST down."
