id,offense,secondsLeftInGame,scoreDifferential,yardsToGoal,distanceToFirstDown,isWentForIt,wasSuccess,likelihood,rawRate,smoothedRate,sampleSize,meetsMinSample,blockKey,playText
"400933831103976601","Georgia",1053,24,37,4,true,true,0.4429,0.4713,0.4429,244,true,"Ahead 15+ | H2 Early | YTG 31-40 | Dist 3-5","Jake Fromm pass complete to Javon Wims for 22 yds to the AppSt 15 for a 1ST down"
"332500061215","Georgia",146,11,32,2,true,true,0.4392,0.6667,0.4392,30,true,"Ahead 9-14 | H2 Final 4 | YTG 31-40 | Dist 2","Todd Gurley rush for 5 yards to the SCaro 27 for a 1ST down."
"400603931101987003","Georgia",2789,-7,36,4,true,true,0.4388,0.4726,0.4388,201,true,"Behind 6-8 | H1 Mid | YTG 31-40 | Dist 3-5","Greyson Lambert pass complete to Malcolm Mitchell for 5 yds to the Aub 31 for a 1ST down"
"401628339103887906","Georgia",1580,38,60,1,true,true,0.4385,0.4889,0.4385,135,true,"Ahead 15+ | H2 Early | YTG 51-60 | Dist 1","Gunner Stockton run for 1 yd to the UGA 41 for a 1ST down"
"401752669103964801","Georgia",1131,38,2,2,true,true,0.4378,0.4957,0.4378,117,true,"Ahead 15+ | H2 Early | YTG 1-10 | Dist 2","Gunner Stockton pass complete to London Humphreys for 2 yds for a TD (Peyton Woodring KICK)"
"273070061113","Georgia",2328,0,54,1,true,true,0.4369,0.4957,0.4369,115,true,"Tied | H1 Mid | YTG 51-60 | Dist 1","Knowshon Moreno rush for 4 yards to the 50 yard line for a 1ST down."
"272580061044","Georgia",2780,0,56,1,true,true,0.4369,0.4957,0.4369,115,true,"Tied | H1 Mid | YTG 51-60 | Dist 1","Brannan Southerland rush for 2 yards to the Geo 46 for a 1ST down."
"401012334102997801","Georgia",1821,10,38,3,true,true,0.4245,0.5345,0.4245,58,true,"Ahead 9-14 | H1 Final 4 | YTG 31-40 | Dist 3-5","Terry Godwin 38 Yd pass from Jake Fromm (Rodrigo Blankenship Kick)"
"401282136101946601","Georgia",3033,14,32,5,true,true,0.4180,0.5556,0.4180,45,true,"Ahead 9-14 | H1 Early | YTG 31-40 | Dist 3-5","Stetson Bennett pass complete to Kenny McIntosh for 32 yds for a TD, (Jack Podlesny KICK)"
"2426200610509","Georgia",3091,-3,17,1,true,true,0.4134,0.5610,0.4134,41,true,"Behind 3-5 | H1 Early | YTG 11-20 | Dist 1","Michael Cooper (GA) rushed up the middle for 2 yards."
"400548385104888401","Georgia",675,52,15,2,true,true,0.4113,0.4673,0.4113,107,true,"Ahead 15+ | H2 Mid | YTG 11-20 | Dist 2","Brendan Douglas run for 8 yds to the Troy 7 for a 1ST down"
"401628381103934401","Georgia",1315,4,55,1,true,true,0.4105,0.5082,0.4105,61,true,"Ahead 3-5 | H2 Early | YTG 51-60 | Dist 1","Carson Beck run for 1 yd to the UGA 46 for a 1ST down"
"401442010104899101","Georgia",608,45,24,5,true,true,0.4093,0.4251,0.4093,374,true,"Ahead 15+ | H2 Mid | YTG 21-30 | Dist 3-5","Carson Beck pass complete to Dillon Bell for 11 yds to the TCU 13 for a 1ST down"
"2324900611908","Georgia",955,17,26,4,true,true,0.4093,0.4251,0.4093,374,true,"Ahead 15+ | H2 Mid | YTG 21-30 | Dist 3-5","Michael Cooper (GA) rushed right side for 8 yards."
"312812633056","Georgia",2755,3,57,1,true,true,0.4012,0.4592,0.4012,98,true,"Ahead 3-5 | H1 Mid | YTG 51-60 | Dist 1","Aaron Murray rush for 2 yards to the Geo 45 for a 1ST down."
"252670344150","Georgia",1456,14,35,5,true,true,0.3965,0.4323,0.3965,155,true,"Ahead 9-14 | H2 Early | YTG 31-40 | Dist 3-5","DJ Shockley pass complete to Leonard Pope for 34 yards to the MiSt 1 for a 1ST down."
"401256108103914401","Georgia",1435,11,38,5,true,true,0.3965,0.4323,0.3965,155,true,"Ahead 9-14 | H2 Early | YTG 31-40 | Dist 3-5","JT Daniels pass complete to George Pickens for 20 yds to the Cincy 18 for a 1ST down"
"401752731104949901","Georgia",300,3,40,3,true,true,0.3952,0.4476,0.3952,105,true,"Ahead 3-5 | H2 Mid | YTG 31-40 | Dist 3-5","Gunner Stockton pass complete to London Humphreys for 8 yds to the AUB 32 for a 1ST down"
"401403911104988201","Georgia",77,32,57,1,true,true,0.3655,0.4375,0.3655,64,true,"Ahead 15+ | H2 Final 4 | YTG 51-60 | Dist 1","Branson Robinson run for 30 yds to the Aub 27 for a 1ST down"
"401520327102949301","Georgia",2106,7,17,2,true,true,0.3593,0.4857,0.3593,35,true,"Ahead 6-8 | H1 Mid | YTG 11-20 | Dist 2","Kendall Milton run for 2 yds to the VAN 15 for a 1ST down"
"400603904103934001","Georgia",1319,0,65,1,true,true,0.3545,0.4074,0.3545,81,true,"Tied | H2 Early | YTG 61-70 | Dist 1","Sony Michel run for 2 yds to the Geo 37 for a 1ST down"
"401403928104878001","Georgia",739,15,33,7,true,true,0.3489,0.3630,0.3489,292,true,"Ahead 15+ | H2 Mid | YTG 31-40 | Dist 6-8","Stetson Bennett pass complete to Brock Bowers for 29 yds to the Fla 4 for a 1ST down"
"333200002229","Georgia",109,0,5,5,true,true,0.3426,0.4318,0.3426,44,true,"Tied | H2 Final 4 | YTG 1-10 | Dist 3-5","Aaron Murray rush for 5 yards for a TOUCHDOWN."
"293110061137","Georgia",742,38,46,2,true,true,0.3402,0.3729,0.3402,118,true,"Ahead 15+ | H2 Mid | YTG 41-50 | Dist 2","Carlton Thomas rush for 2 yards to the TnTch 44, tackled by LaDarrius Verge and Jake McIntosh for a 1ST down."
"312670145166","Georgia",813,11,56,1,true,true,0.3278,0.3678,0.3278,87,true,"Ahead 9-14 | H2 Mid | YTG 51-60 | Dist 1","Richard Samuel rush for 1 yard to the Geo 45, tackled by Serderius Bryant and Joel Kight for a 1ST down."
"332430228166","Georgia",1440,-7,66,1,true,true,0.3256,0.3608,0.3256,97,true,"Behind 6-8 | H2 Early | YTG 61-70 | Dist 1","Collin Barber rush for 5 yards to the Geo 39 for a 1ST down."
"293250061253","Georgia",315,-7,29,8,true,true,0.3252,0.3626,0.3252,91,true,"Behind 6-8 | H2 Mid | YTG 21-30 | Dist 6-8","Joe Cox pass complete to Caleb King for 13 yards to the Kent 16 for a 1ST down."
"401403928102958301","Georgia",2056,18,66,1,true,true,0.3199,0.3953,0.3199,43,true,"Ahead 15+ | H1 Mid | YTG 61-70 | Dist 1","Stetson Bennett run for 2 yds to the Geo 36 for a 1ST down"
"302890061226","Georgia",895,43,51,1,true,true,0.3160,0.3333,0.3160,180,true,"Ahead 15+ | H2 Mid | YTG 51-60 | Dist 1","Hutson Mason rush for 1 yard to the 50 yard line for a 1ST down."
"401628386102859305","Georgia",2646,7,21,4,true,true,0.3115,0.3361,0.3115,122,true,"Ahead 6-8 | H1 Mid | YTG 21-30 | Dist 3-5","Carson Beck pass complete to Oscar Delp for 11 yds to the MSST 10 for a 1ST down"
"401752766503","Georgia",1129,4,64,1,true,true,0.3066,0.3478,0.3066,69,true,"Ahead 3-5 | H2 Early | YTG 61-70 | Dist 1","#14 G.Stockton pass complete short right to #33 C.Bowens caught at UGA36, for 10 yards to the UGA46 (#18 L.Lefau), 1ST DOWN"
"2328426332005","Georgia",1667,13,55,1,true,true,0.2775,0.3012,0.2775,83,true,"Ahead 9-14 | H2 Early | YTG 51-60 | Dist 1","David Greene (GA) rushed up the middle for 1 yard."
"401628381104946901","Georgia",330,15,66,1,true,true,0.2752,0.2876,0.2752,153,true,"Ahead 15+ | H2 Mid | YTG 61-70 | Dist 1","Trevor Etienne run for 1 yd to the UGA 35 for a 1ST down"
"400603925103949004","Georgia",1209,-7,80,1,true,true,0.2678,0.3043,0.2678,46,true,"Behind 6-8 | H2 Early | YTG 71-80 | Dist 1","Sony Michel run for 3 yds to the GeoSo 17 for a 1ST down"
"292900238186","Georgia",705,17,15,5,true,true,0.2631,0.2676,0.2631,340,true,"Ahead 15+ | H2 Mid | YTG 11-20 | Dist 3-5","Carlton Thomas rush for 6 yards to the Vandy 9, tackled by Sean Richardson for a 1ST down."
"302610061113","Georgia",2098,-7,71,1,true,true,0.2464,0.2593,0.2464,81,true,"Behind 6-8 | H1 Mid | YTG 71-80 | Dist 1","Aaron Murray rush for 1 yard to the Geo 30 for a 1ST down."
"401520300104976101","Georgia",158,38,7,7,true,true,0.2342,0.2432,0.2342,74,true,"Ahead 15+ | H2 Final 4 | YTG 1-10 | Dist 6-8","Brock Vandagriff pass complete to Andrew Paul for 7 yds for a TD (Peyton Woodring KICK)"
"401135289103927901","Georgia",1340,12,19,2,true,true,0.2292,0.2432,0.2292,37,true,"Ahead 9-14 | H2 Early | YTG 11-20 | Dist 2","Jake Camarda run for 6 yds to the Bayl 13 for a 1ST down"
"401110826104904101","Georgia",598,14,29,4,true,true,0.2218,0.2235,0.2218,170,true,"Ahead 9-14 | H2 Mid | YTG 21-30 | Dist 3-5","Jake Fromm pass complete to George Pickens for 7 yds to the Kent 22 for a 1ST down"
"400548381101899401","Georgia",3305,-3,71,1,true,true,0.2169,0.2200,0.2169,50,true,"Behind 3-5 | H1 Early | YTG 71-80 | Dist 1","Hutson Mason run for 3 yds to the Geo 32 for a 1ST down"
"401282122101995701","Georgia",2742,4,35,6,true,true,0.2167,0.2177,0.2167,147,true,"Ahead 3-5 | H1 Mid | YTG 31-40 | Dist 6-8","Arian Smith 35 Yd pass from Stetson Bennett (Jack Podlesny Kick)"
"262450061083","Georgia",2228,30,98,1,true,true,0.2118,1.0000,0.3244,5,false,"Ahead 15+ | H1 Mid | YTG 91-100 | Dist 1","Thomas Brown rush for 2 yards for a TOUCHDOWN."
"401752669101977801","Georgia",2841,14,13,1,true,true,0.2118,0.5263,0.3337,19,false,"Ahead 9-14 | H1 Early | YTG 11-20 | Dist 1","Gunner Stockton run for 13 yds for a TD (Peyton Woodring KICK)"
"283200002138","Georgia",1120,1,40,1,true,true,0.2118,0.8333,0.4449,18,false,"Ahead 0-2 | H2 Early | YTG 31-40 | Dist 1","Matthew Stafford rush for 2 yards to the Aub 38 for a 1ST down."
"400868998104987001","Georgia",89,1,20,10,true,true,0.2118,0.3000,0.2338,10,false,"Ahead 0-2 | H2 Final 4 | YTG 11-20 | Dist 9-10","Isaiah McKenzie 20 Yd pass from Jacob Eason (William Ham Kick)"
"292760061139","Georgia",855,0,99,1,true,true,0.2118,0.8750,0.3514,8,false,"Tied | H2 Mid | YTG 91-100 | Dist 1","Joe Cox pass complete to Shaun Chapas for 1 yard for a TOUCHDOWN."
"332710061192","Georgia",560,0,38,2,true,true,0.2118,0.7500,0.3990,16,false,"Tied | H2 Mid | YTG 31-40 | Dist 2","Aaron Murray pass complete to Justin Scott-Wesley for 10 yards to the LSU 14, LSU penalty 14 yard Roughing Passer on Jermauria Rasco accepted for a 1ST down."
"401752705104976701","Georgia",152,0,28,6,true,true,0.2118,0.1304,0.1765,23,false,"Tied | H2 Final 4 | YTG 21-30 | Dist 6-8","Gunner Stockton pass complete to London Humphreys for 28 yds for a TD (Gunner Stockton pass to Zachariah Branch for Two-Point Conversion)"
"302610061027","Georgia",3169,-1,1,1,true,true,0.2118,0.8824,0.4543,17,false,"Behind 0-2 | H1 Early | YTG 1-10 | Dist 1","Aaron Murray rush for 1 yard for a TOUCHDOWN."
"303170002025","Georgia",3201,-1,31,2,true,true,0.2118,0.7500,0.2751,4,false,"Behind 0-2 | H1 Early | YTG 31-40 | Dist 2","Aaron Murray pass complete to A.J. Green for 31 yards for a TOUCHDOWN."
"400869026104974406","Georgia",175,-1,73,13,true,true,0.2118,1.0000,0.3609,7,false,"Behind 0-2 | H2 Final 4 | YTG 71-80 | Dist 11-14","Jacob Eason pass complete to Terry Godwin for 23 yds to the 50 yard line for a 1ST down"
"400876103103914401","Georgia",1435,-2,21,6,true,true,0.2118,0.0741,0.1465,27,false,"Behind 0-2 | H2 Early | YTG 21-30 | Dist 6-8","Brice Ramsey run for 11 yds to the TCU 10 for a 1ST down"
"292620008111","Georgia",1942,-4,31,2,true,true,0.2118,0.6522,0.4029,23,false,"Behind 3-5 | H1 Final 4 | YTG 31-40 | Dist 2","Joe Cox pass complete to Michael Moore for 6 yards to the Ark 25 for a 1ST down."
"401628374104988401","Georgia",75,-7,47,2,true,true,0.2118,1.0000,0.5363,21,false,"Behind 6-8 | H2 Final 4 | YTG 41-50 | Dist 2","Carson Beck pass complete to Colbie Young for 11 yds to the ALA 36 for a 1ST down"
"2400125090406","Georgia",3120,7,52,2,true,true,0.2066,0.2037,0.2066,54,true,"Ahead 6-8 | H1 Early | YTG 51-60 | Dist 2","Sean Jones (GA) rushed right side for 4 yards."
"2431100963211","Georgia",458,24,27,9,true,true,0.1932,0.1895,0.1932,153,true,"Ahead 15+ | H2 Mid | YTG 21-30 | Dist 9-10","D.J. Shockley (GA) rushed left side for 22 yards."
"262450061063","Georgia",2662,17,80,1,true,true,0.1872,0.1667,0.1872,36,true,"Ahead 15+ | H1 Mid | YTG 71-80 | Dist 1","Brannan Southerland rush for 3 yards to the WKty 17 for a 1ST down."
"401403918103966401","Georgia",1115,31,32,10,true,true,0.1869,0.1802,0.1869,111,true,"Ahead 15+ | H2 Early | YTG 31-40 | Dist 9-10","Stetson Bennett pass complete to Kearis Jackson for 14 yds to the Vandy 18 for a 1ST down"
"401520364101854210","Georgia",3597,0,47,5,true,true,0.1721,0.1708,0.1721,890,true,"Tied | H1 Early | YTG 41-50 | Dist 3-5","Carson Beck pass complete to Rara Thomas for 26 yds to the MIZ 21 for a 1ST down"
"332500061034","Georgia",2982,4,31,13,true,true,0.1367,0.1067,0.1367,75,true,"Ahead 3-5 | H1 Early | YTG 31-40 | Dist 11-14","Aaron Murray pass complete to Justin Scott-Wesley for 24 yards to the SCaro 7 for a 1ST down."
"401769073103966101","Georgia",1118,2,70,5,true,true,0.1247,0.0667,0.1247,45,true,"Ahead 0-2 | H2 Early | YTG 61-70 | Dist 3-5","Landon Roldan pass complete to Lawson Luckie for 16 yds to the UGA 46 for a 1ST down"
"401282122103917301","Georgia",1406,30,19,3,true,true,0.1165,0.1036,0.1165,222,true,"Ahead 15+ | H2 Early | YTG 11-20 | Dist 3-5","JT Daniels pass complete to John FitzPatrick for 7 yds to the Misso 12 for a 1ST down"
"253230061065","Georgia",2265,4,41,6,true,true,0.1009,0.0775,0.1009,142,true,"Ahead 3-5 | H1 Mid | YTG 41-50 | Dist 6-8","DJ Shockley pass complete to Mohamed Massaquoi for 13 yards to the Kent 28 for a 1ST down."
"253230061042","Georgia",2608,-3,54,4,true,true,0.0861,0.0688,0.0861,218,true,"Behind 3-5 | H1 Mid | YTG 51-60 | Dist 3-5","Jeff Owens rush for 35 yards to the Kent 19 for a 1ST down."